word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
apparel,n.,（精緻的）衣服,clothing; dress,,,,,1,1,Mason 2000 PDF page 59 / 字根 par: to prepare 準備 / 提示 prepare 準備
apparition,n.,幽靈、亡靈、幻影、特異景象,"appearance, esp of sth startling, strange or unexpected ,",,,,,1,1,Mason 2000 PDF page 59 / 字根 par 出現 / 提示 transparent 透明的、清澈的
transparent,adj.,透明的、清澈的,Allowing light to pass through so that objects behind can be seen clearly,transparent plastic box,,,,3,3,Mason 2000 PDF page 59 / 字根 par 出現 / 提示 transparent 透明的、清澈的
disparage,v.,貶抑、輕蔑,"suggest, esp unfairly, that is of little value or importance",Voters don't like political advertisements in which opponents disparage one another. 選民不喜歡那些互相彼此攻擊貶抑的政治 廣告 The article disparaged polo as a game for the wealthy. 這文章將馬球貶抑為有錢人的遊戲,slight,,,5,5,Mason 2000 PDF page 59 / 字根 par 平等 / 提示 compare 比較
disparate,adj.,不同的、異類的,so different in kind or degree that they cannot be compared,disparate notions (概念、想法) among adults and adolescents about when middle age begins,,,,5,5,Mason 2000 PDF page 59 / 字根 par 平等 / 提示 compare 比較
nonpareil,n.,無匹敵的,adj (person or thing) without an equal or rival,,,,non(沒有) + par(平等) + eil,2,1,Mason 2000 PDF page 59 / 字根 par 平等 / 提示 compare 比較
parity,n.,同等、類似、相同,state of being equal; equality,,,,,1,1,Mason 2000 PDF page 59 / 字根 par 平等 / 提示 compare 比較
parody,n.,模仿性嘲弄文章或表演、拙劣的模仿,"(piece of) speech, writing or music that imitates the style of an author, composer, etc in an amusing and often exaggerated way; comic imitation",Charlie Chaplin impersonating Hitler for comic effect in the satirical film The Great Dictator (1940),,,,4,4,Mason 2000 PDF page 59 / 字根 par 平等 / 提示 compare 比較
compartment,n.,隔間、車廂,"any of the sections into which a larger area or enclosed space, esp a railway carriage, is divided",,,,,5,2,Mason 2000 PDF page 59 / 字根 part 部分、分開 / 提示 party 黨派、政黨
counterpart,n.,相對應的人或物,person or thing that corresponds to or has the same function as sb or sth else,"Every week, new original films debut on Netflix and other streaming services, often to much less fanfare (大張旗鼓) than their big- screen counterparts. 每周都有新的原創電影在Netflix和其他串流服務首播，經常沒有像其他大螢幕(電影院)的電影一樣 大張旗鼓",,,,3,3,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
impart,v.,傳授、傳達；分給、給予,"to give, convey, or grant from or as if from a store",impart the bad news,communicate;conduct;convey;give;spread;transfer;transfuse;transmit,,,2,2,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
impartial,adj.,公平的、無私的,not favouring one person or thing more than another; fair or neutral,an impartial analysis of the case 對本案件不偏倚的分析,,,,5,5,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
partial,,局部的、偏袒的,,She is partial to her youngest boy. 她對她最小的兒子偏心,,,,4,4,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
particulate,,微粒的、微粒,,,,,,1,1,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
partisan,n.,（黨派）支持者、黨徒，盲目支持者,"enthusiastic and often uncritical supporter of a person, group or cause",political partisans who see only one side of the problem,,,,5,5,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
partition,n.,分開、分割、劃分,"action of dividing or state of being divided into parts, esp the division of one country into two or more nations",,,,,5,2,Mason 2000 PDF page 60 / 字根 part 部分、分開 / 提示 party 黨派、政黨
impasse,n.,僵局、死路,difficult position or situation from which there is no way out; deadlock,Parents are at an impasse on family size - AMY DICKINSON,,,,3,3,Mason 2000 PDF page 60 / 字根 pass 通過 / 提示 surpass 勝過、優於
surpass,v.,勝過、優於、大於、多於,sb/sth (in sth) (fml ) do or be better than sb/sth; exceed sb/sth,,,,sur(超越) + pass(通過),2,1,Mason 2000 PDF page 60 / 字根 pass 通過 / 提示 surpass 勝過、優於
trespass,v.,侵犯、闖入私人領地,enter sb's land or property without his permission or other authority,,,,,5,2,Mason 2000 PDF page 60 / 字根 pass 通過 / 提示 surpass 勝過、優於
antipathy,,反感、厭惡,settled aversion or dislike:DISTASTE,an antipathy to taxes 對於稅的反感 Utley earned the antipathy of Mets fans 被Mets粉絲厭惡,animosity;animus;antagonism;rancor,affection(友愛),anti(反) + path(感情) + y,5,5,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
apathetic,adj.,無感情的,having or showing little or no feeling or emotion : SPIRITLESS,The task at next year's Scottish elections is not only to win a majority but to arouse the enthusiasm of a generally apathetic public. 不 僅要贏得多數，更要喚起冷漠大眾的熱情,impassive,,a(無) + path(感情) + etic,5,5,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
compatible,adj.,和諧共處的、相容的,"(of people, ideas, arguments, principles, etc) suited; that can exist together",This printer is compatible with most PCs. 這印表機與多數PC相容 // The careers structure here is not compatible with having a family 本地的職涯結構與扶養家庭不相容,,,com(共同) + pat(感情) + ible → 有共同感情的 → 相容的,5,5,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
compassionate,adj.,有同情心的,showing or feeling compassion ; . compassionately,People want to be compassionate about children,,,,2,2,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
dispassionate,adj.,不被感情所動的、冷靜的,not influenced by emotion; impartial,a dispassionate critic 不為感情所動的批評家 Journalists aim to be dispassionate observers. 記者應該要是冷靜的觀察者,,,,5,5,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
empathy,n.,同理,"ability to imagine and share another person's feelings, experience, etc",Government officials must have empathy toward the disaster-stricken families. 政府關於必須對受災戶抱持同理心,,,,4,4,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
impassioned,adj.,充滿激情的、慷慨激昂的、熱烈的,showing strong deep feeling,Her lawyer made an impassioned argument in her defense. 她的律師慷慨激昂地陳述辯護詞語,a. impassionate 充滿熱情的 fervent;vehement,,,4,4,"Mason 2000 PDF page 60 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
impassive,adj.,不露情感的、無動於衷的、冷漠的,showing no sign of feeling,"In the executive boxes, even Russia's president, Vladimir V. Putin, ordinarily so impassive, twitched the corners of his mouth in what could, just about, be recognized as a smile. -New York Times (2018世界盃開幕戰，俄羅斯以5：0大勝沙烏地阿拉伯)",apathetic;numb,,,2,2,"Mason 2000 PDF page 61 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
passivity,,被動、消極,"[ passive: ] not active or not participating perceptibly in an activity, organization, etc.",,,,,1,1,"Mason 2000 PDF page 61 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
pathogen,,病原體,,,,,,5,2,"Mason 2000 PDF page 61 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
pathological,adj.,病態的；病理上的,"being such to a degree that is extreme, excessive, or markedly abnormal; of or relating to pathology",pathological gambling 病態賭博,,,,2,2,"Mason 2000 PDF page 61 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
pathos,n.,激起憐憫（或同情等）的因素、感傷力,"quality, esp in speech, writing, acting, etc that causes a feeling of pity or sadness",,,,,1,1,"Mason 2000 PDF page 61 / 字根 passi, pati, path 感情、受苦、疾病 / 提示 pathetic 引起同情的 pathogen病原"
compatriot,n.,同胞、同國人,"person who was born in, or is a citizen of, the same country as another; fellow-countryman ;",,,,,5,2,Mason 2000 PDF page 61 / 字根 patri 家長、國家 / 提示 patriot 愛國者、愛國主義者
expatriate,n.,驅逐出國、脫離國籍,person living outside his own country,,,,,5,2,Mason 2000 PDF page 61 / 字根 patri 家長、國家 / 提示 patriot 愛國者、愛國主義者
patriot,,愛國者、愛國主義者,,,,,,1,1,Mason 2000 PDF page 61 / 字根 patri 家長、國家 / 提示 patriot 愛國者、愛國主義者
patronage,n.,贊助、惠顧,support and encouragement given by a patron,The college relied on the patronage of its wealthy graduates to expand its funds.,,,,2,1,Mason 2000 PDF page 61 / 字根 patri 家長、國家 / 提示 patriot 愛國者、愛國主義者
patronizing,,擺出恩賜態度的、要人領情的,,patronizing comments,,,,5,2,Mason 2000 PDF page 61 / 字根 patri 家長、國家 / 提示 patriot 愛國者、愛國主義者
impeccable,adj.,無懈可擊的、無缺點的,free from mistakes; excellent or faultless,impeccable timing,flawless,,,4,4,Mason 2000 PDF page 61 / 字根 pecc 斑點 / 提示 impeccable 無懈可擊的、無缺點的
peccadillo,n.,輕罪、小過、小瑕疵,small unimportant offence or sin,,,,,1,1,Mason 2000 PDF page 61 / 字根 pecc 斑點 / 提示 impeccable 無懈可擊的、無缺點的
impecunious,adj.,一文不名的、貧困的,having little or no money,an impecunious guy,impoverished,affluent;deep-pocketed;opulent;well-off;well-to-do,,2,2,Mason 2000 PDF page 61 / 字根 pecun 錢 / 提示 pecuniary 金錢的、錢財方面的
pecuniary,adj.,金錢的、錢財方面的,of or concerning money,non-pecuniary characteristics 非關金錢之因素,financial;fiscal;monetary,,,2,2,Mason 2000 PDF page 61 / 字根 pecun 錢 / 提示 pecuniary 金錢的、錢財方面的
expedient,adj.,方便的、權宜的,"useful, helpful or advisable for a particular purpose, though not necessarily fair or moral","They found it expedient to negotiate with the terrorists. // Do the right thing, not the expedient thing.",,,,4,4,Mason 2000 PDF page 61 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
expedite,v.,促進﹐加快進程,"help the progress of (work, business, etc); hasten or speed up",expedite the vaccine / expedite a visa,hasten,,,4,4,Mason 2000 PDF page 61 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
impede,v.,妨礙、阻礙、阻止,hinder or obstruct the progress or movement of,The attempt to rescue the climbers was impeded by bad weather. 救援登山者的努力因天氣惡劣而受阻,,,,5,5,Mason 2000 PDF page 61 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
pedestrian,,徒步的；平凡的，缺乏想像的,"commonplace, unimaginative","pedestrian concerns like paying the bills and getting the kids to school on time // He lived a pedestrian life, working at the paper mill and living in his trailer.",,,,5,5,Mason 2000 PDF page 61 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
pejorative,adj.,貶抑的、輕蔑的,expressing criticismor scorn; derogatory; disparaging,a pejorative word or phrase 帶有貶義的字彙或語句,,,,4,4,Mason 2000 PDF page 61 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
peripatetic,adj.,到處走的、流動的,going from place to place,the peripatetic nature of military life,itinerant,,peri(周圍) + pat(=ped腳) → 到處走的、巡迴的,4,4,Mason 2000 PDF page 62 / 字根 ped 腳 / 提示 pedal 踏板、腳蹬
pedant,n.,迂腐之人、書呆子,"person who attaches too much importance to detail or to rules, esp when learning or teaching",,,,,5,2,Mason 2000 PDF page 62 / 字根 ped 教育、兒童 / 提示 pediatrics 小兒科
pedantic,adj.,賣弄學問的；學究的；迂腐的,"narrowly, stodgily, and often ostentatiously learned; of or like a pedant",Even Ayman Zawahri’s (al-Qaida領導人) admirers concede he was pedantic 學究的 and lacked bin Laden’s charisma.,,,,2,2,Mason 2000 PDF page 62 / 字根 ped 教育、兒童 / 提示 pediatrics 小兒科
compelling,adj.,令人注目的、極端吸引人的；強制的；強而有力的,"extremely interesting and exciting, so that one has to pay attention",The novel was so compelling that I couldn't put it down. // no compelling evidence 強而有力的證據,,,,4,4,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
dispel,v.,驅散、消除,drive (sth) away; cause to vanish,She made an official statement to dispel any rumors about her retirement. 驅散所有關於退休的謠言,,,,4,4,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
impel,v.,推進、推動,sb (to sth) force or urge sb to do sth,He said he had been impelled to crime by poverty. 他說貧困逼得他犯罪,,,,1,1,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
propel,v.,推進、推,"move, driveor push (sth) forward",a person propelled by ambition 一個為野心所驅策的人,,,pro(前) + pel(推),1,1,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
repel,v.,擊退、驅除,drive (sb/sth) back or away; repulse,,,,,5,2,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
repellent,adj.,擊退的、令人厭惡的,arousing distaste or disgust; repulsive,,,,,5,2,Mason 2000 PDF page 62 / 字根 pel 推、逐、驅 / 提示 compel 強迫
penalty,n.,處罰、刑罰,"punishment for breaking a law, rule or contract",,,,,3,3,Mason 2000 PDF page 62 / 字根 pen 懲罰 / 提示 penalty 處罰、刑罰
penitential,,後悔的、懺悔的,,penitential month 懺悔月 penitential seclusion 懺悔的獨居,contrite(後悔的),,,3,3,Mason 2000 PDF page 62 / 字根 pen 懲罰 / 提示 penalty 處罰、刑罰
compendium,n.,簡要、概略,(of sth) brief but full account; summary,"The energy giant BP's annual Statistical Review of World Energy is a compendium of facts, figures, charts, and graphs on global energy use. — David Roberts, Vox",abstract,,com(全部) + pend(懸、掛) + ium → 把所有東西串起來 → 摘要、提綱,3,3,"Mason 2000 PDF page 62 / 字根 pend, pens 懸、掛 / 提示 suspend 中止、吊"
impending,adj.,即將發生的、逼近的,about to happen; imminent,(volcano's) impending eruption,brew;loom,,,2,2,"Mason 2000 PDF page 62 / 字根 pend, pens 懸、掛 / 提示 suspend 中止、吊"
penchant,n.,愛好、嗜好,for sth liking or taste for sth,She has a penchant for love poems.,,aversion(厭惡),,4,4,"Mason 2000 PDF page 62 / 字根 pend, pens 懸、掛 / 提示 suspend 中止、吊"
pending,adj.,未定的、待定的,waiting to be decided or settled,"Pederson said Bennett's absence is not related to his pending legal matter in Texas. — Zach Berman, Philly.com",,,,2,2,"Mason 2000 PDF page 62 / 字根 pend, pens 懸、掛 / 提示 suspend 中止、吊"
pensive,adj.,沈思的、愁眉苦臉的,"thinking deeply about sth, esp in a sad or serious way","in a pensive mood 憂心忡忡 After receiving the news, she became pensive and spent the rest of the day lost in thought. 在收到這 個消息後，她愁眉苦臉，整個下午都在深思熟慮中度過。",,,,3,3,"Mason 2000 PDF page 62 / 字根 pend, pens 懸、掛 / 提示 suspend 中止、吊"
dispense,v.,施予、分配、免除(+with),sth give sth out; distribute sth,,,,,1,1,"Mason 2000 PDF page 63 / 字根 pend, pens 花費 / 提示 expense 費用"
dispensable,adj.,不必要的、可有可無的,not necessary or essential,,,,dis(不) + pens(花費) + able → 不值得花費的,1,1,"Mason 2000 PDF page 63 / 字根 pend, pens 花費 / 提示 expense 費用"
personification,n.,典型、化身、完美榜樣,treating sth that is without life as a human being or representing it in human form,,,,,1,1,Mason 2000 PDF page 63 / 字根 person 人 / 提示 person 人
impersonate,v.,扮演、模仿,pretend to be in order to entertain others,,,,,5,2,Mason 2000 PDF page 63 / 字根 person 人 / 提示 person 人
appetite,n.,食慾、胃口,"physical desire, esp for food or pleasure",she had no appetite for gossip,,,"""craving for food,"" from Anglo-French appetit, Old French apetit ""appetite, desire, eagerness"" - Online Etymology Dictionary",2,1,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
impetuous,adj.,性急的、魯莽的、衝動的,acting or done quickly and with little thought or care; rash or impulsive,an impetuous temperament 衝動的性情,,,im 加強語氣 + pet 追求 → 魯莽的、衝動的,5,5,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
impetus,n.,推動力、刺激,thing that encourages a process to develop more quickly,The reward money should be sufficient impetus for someone to come forward with information about the robbery.,boost;impulse;incentive;motivation;provocation;spur;stimulus,,im 加強語氣 + pet 追求,3,3,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
perpetuate,v.,使永存不朽、使不朽,cause to continue,Fears about an epidemic are being perpetuated by the media. 媒體延續了對於流行病的恐懼,,,per(全部) + (pet追求) → 使大家都可以追求 → 永垂不朽,5,5,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
petition,n.,請願、請願書,"formal written request, esp one signed by many people appealing to sb in authority",,,,,2,1,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
petulant,adj.,暴躁的、壞脾氣的,unreasonably impatient or irritable,"Trump himself looks like a comically petulant child, and John Bolton, the National Security Advisor, appears to be nervous, staunchly standing by the president. - Meagan Fredette, refinery29.com",peevish,,,2,2,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
propitious,adj.,有利的,(fml ) giving or indicating a good chance of success; favourable,propitious sign,auspicious;favorable;heartening;upbeat,bleak;dark;depressing;desperate,propit(形近proper恰當的) + ious(多...的) → 每件事情都很恰當 → 有利的,2,2,Mason 2000 PDF page 63 / 字根 pet: seek 追求 / 提示 repeat 重說、重寫
petrify,,石化、嚇呆,take away power to feel through terror; turn to stone,,,,,5,2,Mason 2000 PDF page 63 / 字根 petro 石頭 / 提示 petroleum 石油
petroleum,n.,石油,"mineral oil that forms underground and is obtained from wells sunk into the ground, from which petrol, paraffin, diesel oil, etc are obtained by processing",,,,,2,1,Mason 2000 PDF page 63 / 字根 petro 石頭 / 提示 petroleum 石油
ephemeral,adj.,朝生暮死的、生命短暫的,"living, lasting, etc for a very short time",ephemeral pleasures (短暫的快樂); an ephemeral fever (只持續一天的發燒),transitory;transient;momentary;fleeting;fugitive;evanescent,,,3,3,"Mason 2000 PDF page 63 / 字根 phan, phen, phem 出現、顯現 / 提示 phantom 幽靈"
euphemism,n.,委婉的說法,"use of pleasant, mild or indirect words or phrases in place of more accurate or direct ones","If you are ""let go,"" ""separated,"" ""terminated"" or whatever euphemism the company uses for ""clean-out-your-desk-and-be-gone,"" remember that you do have rights.",,,,4,4,"Mason 2000 PDF page 63 / 字根 phan, phen, phem 出現、顯現 / 提示 phantom 幽靈"
sycophant,n.,拍馬屁者,person who tries to gain people's favour by insincerely flattering them and always agreeing with them,sycophantic laughter 諂媚的笑聲,fawner;flunky,,,2,2,"Mason 2000 PDF page 63 / 字根 phan, phen, phem 出現、顯現 / 提示 phantom 幽靈"
claustrophobic,,患幽閉恐懼症的,,,,,claustro(= claus 關閉) + phob(恐懼) + ic,5,2,Mason 2000 PDF page 64 / 字根 phob 憎恨 / 提示 phobia 恐懼症、懼怕
phobia,n.,恐懼症、懼怕,extreme or abnormal dislike or fear of sth; aversion,,,,,1,1,Mason 2000 PDF page 64 / 字根 phob 憎恨 / 提示 phobia 恐懼症、懼怕
xenophobe,,仇視外國者,a person who hates or fears foreigners or strangers,,,,xeno(外國人) + phob(恐懼) + e,5,2,Mason 2000 PDF page 64 / 字根 phob 憎恨 / 提示 phobia 恐懼症、懼怕
cacophony,n.,雜音、不和諧音,loud unpleasant mixture of discordant sounds,,,,caca(壞) + phon(聲音) + y,1,1,Mason 2000 PDF page 64 / 字根 phon: sound 聲音 / 提示 phonetic 發音的、語音的
phony,,假的、欺騙的,fraudulent; having a misleading appearance ; a person who professes beliefs and opinions that they do not hold,,,,,1,1,Mason 2000 PDF page 64 / 字根 phon: sound 聲音 / 提示 phonetic 發音的、語音的
symphony,n.,交響樂、交響曲,"long complex musical composition, usu in three or four parts for a large orchestra",,,,sym(共同) + phon(聲音) + y,2,1,Mason 2000 PDF page 64 / 字根 phon: sound 聲音 / 提示 phonetic 發音的、語音的
aphorism,n.,格言、警句、箴言,short wise saying; maxim,"An aphorism is a concise, terse, laconic, and/or memorable expression of a general truth or principle. E.g. ""Power tends to corrupt, and absolute power corrupts absolutely.""",maxim;adage;axiom;dictum,,,3,3,Mason 2000 PDF page 64 / 字根 phor 帶來 / 提示 metaphor 隱喻
euphoria,n.,心情愉快；狂喜；興奮,intense feeling of happiness and pleasant excitement,"As the initial euphoria wore off, so did the interest of potential investors. 隨著欣喜漸失，潛在投資人的興趣也漸散",,,eu(好) + phor(帶來) + ia,4,4,Mason 2000 PDF page 64 / 字根 phor 帶來 / 提示 metaphor 隱喻
metaphor,,隱喻,,"A metaphor is a figure of speech in which a word or phrase denoting 表示 one kind of object or action is used in place of another to suggest a likeness or analogy 類比 between them: the person being addressed in ""you're a peach (桃子；特別討人喜歡之人)"" is being equated with a peach, with the suggestion being that the person is pleasing or delightful.",a. metaphorical,,meta(變化) + phor(帶來),3,3,Mason 2000 PDF page 64 / 字根 phor 帶來 / 提示 metaphor 隱喻
photosensitive,,感光的,,,,,,1,1,Mason 2000 PDF page 64 / 字根 photo 光 / 提示 photosynthesis 光合作用
photosynthesis,n.,光合作用,process by which green plants convert carbon dioxide and water into food using the energy in sunlight,,,,,1,1,Mason 2000 PDF page 64 / 字根 photo 光 / 提示 photosynthesis 光合作用
neophyte,n.,新手、新信徒、新入修道院者,person recently converted to some belief or religion,,tyro;beginner,,neo(新) + phyte(植物),1,1,Mason 2000 PDF page 64 / 字根 phyte 植物 / 提示 xerophyte 旱生植物
piety,n.,虔誠,devotion to God and respect for religious principles; being pious,filial piety (孝順) || Her piety is evident in her regular attendance at church and involvement in charitable activities. 她的虔誠在她 定期參加教會活動和參與慈善事業上表現得淋漓盡致。,,,"In Confucian and Chinese Buddhist ethics, filial piety (孝) is a virtue of respect for one's parents, elders, and ancestors.",3,3,"Mason 2000 PDF page 64 / 字根 pi, pious: dutiful 虔誠 / 提示 piety 孝順、虔誠"
pious,adj.,虔誠的、盡責的,having or showing a deep devotion to religion,The pious man spent hours each day in prayer and meditation. 虔誠的人每天花費數小時進行祈禱和冥想。,,,,2,2,"Mason 2000 PDF page 64 / 字根 pi, pious: dutiful 虔誠 / 提示 piety 孝順、虔誠"
depict,v.,描繪、描畫,show (sb/sth) as a picture; portray,"The painting, Gleaners 拾穗者, depicts three peasant women gleaning a field of stray stalks of wheat after the harvest.",,,,4,4,Mason 2000 PDF page 64 / 字根 pict 描繪 / 提示 depict 描繪
picturesque,,圖畫般的、美麗的,,,,,,1,1,Mason 2000 PDF page 64 / 字根 pict 描繪 / 提示 depict 描繪
pine,n.,松樹,(also `pine tree) any of several types of evergreen tree that bear cones and have needle-shaped leaves growing in clusters,,,,,2,1,Mason 2000 PDF page 65 / 字根 pin 針 / 提示 pinpoint 針尖、準確地確定
pinnacle,n.,小尖塔、尖頂,small pointed ornament built on to a roof or buttress,,,,,5,2,Mason 2000 PDF page 65 / 字根 pin 針 / 提示 pinpoint 針尖、準確地確定
pinpoint,n.,針尖、準確地確定,sharp end of a pin,,,,,5,2,Mason 2000 PDF page 65 / 字根 pin 針 / 提示 pinpoint 針尖、準確地確定
complacent,adj.,滿足的、自滿的,"(usu derog ) calmly satisfied with oneself, one's work, etc","Democrats, we might lose once again. Let us not be complacent - The Gaurdian",,,com(全部) + plac(平靜、滿足) + ent → 對自己各方面都很滿意 → 自滿的,5,5,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
complaisant,adj.,彬彬有禮的、殷勤的、柔順的,ready to please; obliging,,obliging,,,1,1,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
implacable,adj.,不能安撫的、難和解的,that cannot be changed or satisfied,He has an implacable hatred for his political opponents. 他對於他的政敵有難和解的仇恨,adamant;obstinate,acquiescent;amenable;pliant;relenting,,4,4,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
placate,v.,撫慰、平息；緩和；讓步妥協,make less angry; soothe or pacify,"In an attempt to avoid conflict, she tried to placate her upset colleague by apologizing. 為了避免衝突，她試圖通過道歉來安撫 心情不好的同事。",,,,3,3,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
placebo,n.,安慰劑、寬心丸,(medical ) harmless substance given as if it were medicine to calm a patient who mistakenly believes he is ill,"More than 240 participants were split into two groups — one was given single doses of a topical testosterone gel, while the other was given placebo. — Sy Mukherjee, Fortune",,,,2,2,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
placid,adj.,安靜的、平和的,calm and peaceful; undisturbed,He remained placid despite the criticism.,,,,4,4,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
platitude,n.,平凡、陳腔濫調,"commonplace remark or statement, esp when it is said as if it were new or interesting",empty platitude 空談 She began uttering liberal platitudes. 他開始說出自由派的陳腔濫調,triteness,,plat(平) → 演講平鋪直敘 → 內容充滿陳腔濫調,4,4,"Mason 2000 PDF page 65 / 字根 plac, plat: calm 平靜 / 提示 pleasant 愉快的、舒適的"
supplant,v.,排擠、取代,take the place of (sb/sth); replace,"With inflation slated to 即將 exceed 1.3 million percent this year, gold has supplanted the worthless national currency. 黃金取代了 毫無價值的本國貨幣",,,sup(下面) + plant(栽種、播種),3,3,Mason 2000 PDF page 65 / 字根 plant 種植 / 提示 transplant 移植
implausible,adj.,難以置信的、不像真實的,unlikely to be true; not convincing,This is a blatantly implausible claim. 這是明顯扯翻的主張,,,,4,4,"Mason 2000 PDF page 65 / 字根 plaud, plaus, laud 鼓掌 / 提示 applaud 鼓掌歡迎"
laudatory,adj.,表示讚美的,expressing or giving praise,,,invective(謾罵的);execrable(可憎的);pejorative(輕蔑的),,1,1,"Mason 2000 PDF page 65 / 字根 plaud, plaus, laud 鼓掌 / 提示 applaud 鼓掌歡迎"
plausible,adj.,貌似真實的、貌似有理的,seeming to be right or reasonable; believable,it seems plausible that one of two things may happen 兩件之中一件的發生是可能的 a plausible liar 貌似真實的騙子,,implausible,,5,5,"Mason 2000 PDF page 65 / 字根 plaud, plaus, laud 鼓掌 / 提示 applaud 鼓掌歡迎"
plenitude,,充分、完全；大量,the quality or state of being full; a great sufficiency,She has gathered a plenitude of information on the topic. 對這topic她搜集了大量的資訊,abundance,,,5,5,Mason 2000 PDF page 65 / 字根 plen 滿 / 提示 plenty 充足、十分
replenish,v.,補充、再裝滿,sth fill sth again,,,,,2,1,Mason 2000 PDF page 65 / 字根 plen 滿 / 提示 plenty 充足、十分
complementary,,補充的、補足的,,complementary colors 互補色 My spouse and I have complementary goals. 互補的目標 the complementary relationship that binds the two. — Colin S. Gray,,,,3,3,"Mason 2000 PDF page 65 / 字根 plet: fill, full 滿、注入 / 提示 complete 完全的、完成"
deplete,v.,用盡、使減少,"reduce greatly the quantity, size, power or value of",Activities such as logging and mining deplete our natural resources. 耗盡我們的自然資源 // We completely depleted our life savings when we bought our new house. 耗盡我們一生的存款,,,,1,1,"Mason 2000 PDF page 66 / 字根 plet: fill, full 滿、注入 / 提示 complete 完全的、完成"
plethora,n.,過量、過剩,quantity greater than what is needed; over-abundance,A plethora of books have been written on the subject.,plenitude;plentitude;plenty;superabundance,,,1,1,"Mason 2000 PDF page 66 / 字根 plet: fill, full 滿、注入 / 提示 complete 完全的、完成"
replete,adj.,充滿的、裝滿的,(fml ) well-fed or full; gorged,The book is replete with photographs.,,,,1,1,"Mason 2000 PDF page 66 / 字根 plet: fill, full 滿、注入 / 提示 complete 完全的、完成"
compliance,n.,遵從、順從,action in accordance with a request or command; obedience,Her action was in compliance with state law.,,,,3,3,"Mason 2000 PDF page 66 / 字根 pli, plic 彎、折、重疊 / 提示 replicate 折疊、複製"
